Subject,Proportion_1s,Proportion_2s,Shannon_Entropy,RunsTest_p,ACF_Lag1,ACF_Lag2,ACF_Lag3,ACF_Lag4,ACF_Lag5,ACF_Lag6,ACF_Lag7,ACF_Lag8,ACF_Lag9,ACF_Lag10
sub-011,0.575,0.42500000000000004,0.9837082626231858,0.315534742760872,-0.09737851662404096,-0.0063512361466325756,0.1724850809889173,-0.023785166240409217,-0.22005541346973576,0.04147485080988916,0.0012148337595907861,0.09735720375106563,-0.04520460358056268,0.03132992327365729
sub-012,0.475,0.525,0.99819587904281,0.7338205733133231,0.02337092731829569,-0.052673350041771094,0.10520050125313275,-0.036006683375104424,0.20624477861319956,-0.0686299081035923,-0.026879699248120323,0.11512113617376768,-0.15975355054302415,-0.03529657477025898
sub-013,0.4666666666666667,0.5333333333333333,0.9967916319816367,0.4319852272608008,-0.08095238095238096,-0.054761904761904824,-0.046428571428571465,0.16279761904761905,-0.19717261904761907,0.06339285714285711,0.004761904761904724,0.013095238095238054,-0.12812499999999996,-0.0014880952380952703
sub-014,0.49166666666666664,0.5083333333333333,0.999799616411146,0.14316013549027876,0.1250324164119663,0.10002315457997589,-0.12504167824395657,-0.15005094007594694,-0.04168982124664253,0.016935259794387342,0.15863897378901543,0.017208483838103184,-0.007800777993887164,-0.032810039825877525
sub-015,0.5666666666666667,0.43333333333333335,0.9871377743721862,0.7181440248812871,0.02417043740573152,-0.03536953242835596,0.026131221719456994,0.03446455505279033,0.16383861236802405,0.021719457013574653,0.06398944193061837,-0.04419306184012069,0.04671945701357462,-0.04675716440422322
sub-016,0.49166666666666664,0.5083333333333333,0.999799616411146,0.06711265476726049,0.15837501157728995,0.016944521626377735,0.008884412336760242,-0.0992034824488283,-0.09087014911549494,0.10056960266740761,0.04221774567009356,-0.08281930165786786,-0.05809252570158374,-0.14978697786422146
sub-017,0.6,0.4,0.9709505944546688,0.9390839811086595,-0.012500000000000037,0.009722222222222202,-0.05138888888888892,-0.1472222222222223,0.03472222222222221,0.18194444444444446,-0.0666666666666667,0.011111111111111098,0.05416666666666663,-0.14583333333333343
sub-018,0.375,0.625,0.954434002924965,0.04488630938527226,0.17722222222222223,0.13666666666666666,0.03833333333333333,0.11777777777777777,-0.01611111111111111,-0.043333333333333335,-0.08388888888888889,-0.017777777777777778,0.08388888888888889,-0.02777777777777778
sub-019,0.5,0.5,1.0,0.359283687782044,0.075,-0.08333333333333333,0.14166666666666666,-0.03333333333333333,0.09166666666666666,0.06666666666666667,-0.075,-0.03333333333333333,0.008333333333333333,-0.05
sub-020,0.5416666666666666,0.45833333333333337,0.99498482818597,0.6554444498153282,-0.05040792540792545,0.15932400932400942,-0.03374125874125873,0.041724941724941726,-0.06602564102564104,0.11013986013986017,-0.1654428904428905,0.044289044289044295,0.17150349650349656,-0.03974358974358974
sub-021,0.5083333333333333,0.4916666666666667,0.999799616411146,0.8568849305265025,0.008055478373622346,-0.0005603408354172219,-0.042518755209780434,-0.11781976474946738,-0.04280124108548667,-0.11810225062517359,0.10723580624247478,-0.03419468370843751,0.040823839955543235,-0.017528017041770823
sub-022,0.5,0.5,1.0,0.19934384594597443,0.10833333333333334,0.11666666666666667,0.058333333333333334,0.15,-0.058333333333333334,0.1,0.041666666666666664,-0.08333333333333333,-0.14166666666666666,0.0
sub-023,0.48333333333333334,0.5166666666666666,0.9991983542636399,0.4553991382649978,-0.07564886911383016,-0.1006859473489062,0.10786985539488324,0.03333333333333335,0.041666666666666706,-0.1007230255839822,0.17457360029662594,-0.017315535780496823,0.057758620689655205,0.04996292176492403
sub-024,0.5166666666666667,0.4833333333333333,0.9991983542636397,0.4703125519326017,0.056720430107526906,0.09842417500926962,0.07338709677419357,-0.03563218390804597,0.1729236188357435,-0.06957730812013349,-0.07737300704486469,0.014942528735632194,0.07277530589543942,0.11447905079718212
sub-025,0.525,0.475,0.99819587904281,0.978003961604735,-0.01171679197994988,-0.019256474519632392,0.08932748538011688,0.030827067669172932,0.021616541353383447,-0.019340016708437754,0.07337092731829568,0.03241436925647451,-0.04362990810359237,0.0315371762740183
sub-026,0.4666666666666667,0.5333333333333333,0.9967916319816367,0.3320611001241254,-0.09657738095238098,0.012202380952380926,0.12098214285714283,-0.1385416666666667,0.1376488095238095,0.04553571428571425,-0.13139880952380956,0.07782738095238093,-0.01428571428571435,0.0944940476190476
sub-027,0.475,0.525,0.99819587904281,0.37267358336226053,0.07266081871345025,-0.01925647451963241,0.07178362573099409,-0.13625730994152038,0.0057435254803675645,0.13020050125313276,-0.011006683375104454,-0.0519632414369256,0.10758145363408507,0.049081035923141135
