sub,eeg,cond,per,ocular,muscle
3,50.8470300169733,0,30.1454592954473,25.8866911291748,32.2748433785836
3,44.0355076395285,1,26.7376501460122,29.420771208705,25.3960896146658
3,42.9927607599025,0,16.7217662666973,18.4289159127647,15.8681914436637
3,45.4794130308269,1,28.0259215685764,34.2207193511741,24.9285226772775
3,53.0035726133266,0,29.2329079513362,28.323159351102,29.6877822514533
3,54.4141329104988,1,31.1098715623755,29.654503361596,31.8375556627652
3,46.3672289255222,1,33.3958441568503,33.5365642266116,33.3254841219697
3,57.7001857387898,1,36.2887551455615,39.1274372498823,34.8694140934011
3,54.7116164722442,0,34.927174067663,36.7724754561838,34.0045233734025
3,45.6553017098561,1,29.8742246436613,35.4744155302935,27.0741292003452
3,44.1574362321396,1,31.9555230811482,36.4714157886799,29.6975767273824
3,51.5464323214184,1,36.1889133827318,36.0449760219027,36.2608820631464
3,54.5455125706762,0,33.0556018861298,36.5653268275998,31.3007394153949
3,46.6399796719239,0,20.4180793675563,24.0323974812106,18.6109203107292
3,49.2621494711468,0,31.1241289772717,29.6459577519624,31.8632145899264
3,52.5391599798899,0,37.911865768117,35.448770452785,39.143413425783
3,46.351976684186,0,25.8980528880733,25.937313789587,25.8784224373164
3,43.6759539876728,1,31.3646917335055,32.388931798243,30.8525717011367
3,48.2885682136286,1,25.2746057256558,23.5355086844815,26.144154246243
3,48.0353912831112,1,29.7604852994341,27.1151744005301,31.083140748886
3,52.5270336314391,0,32.5455090779649,31.9591453720536,32.8386909309206
3,59.0533957504237,0,38.1853499731985,37.8833750901542,38.3363374147207
3,52.1853057087948,0,24.9609893529871,15.489540954727,29.6967135521171
3,49.4515681059057,0,29.9267596174486,35.5466458251757,27.1168165135851
3,51.2919507149354,1,35.4125415312795,37.1341263725394,34.5517491106496
3,45.7767134361665,0,23.1875604667361,24.2259653489229,22.6683580256426
3,49.339205530387,0,32.7709400430368,36.2854734314587,31.0136733488258
3,44.9680970854225,0,24.1003244212297,21.6000325030781,25.3504703803055
3,44.6808398198878,0,27.6569459108465,30.4671536885457,26.2518420219969
3,51.4927675693115,0,31.4693096632545,29.9077491665826,32.2500899115904
3,49.6813455281973,1,25.1673807887501,25.8204788044795,24.8408317808854
3,53.8198169416499,1,30.2145078394228,29.9214828338671,30.3610203422006
3,51.1698681354079,1,31.4536318948324,28.5397731284835,32.9105612780068
3,47.5347418206887,0,28.6278459167348,19.3674778138829,33.2580299681608
3,45.9283874885904,0,32.0685054751602,32.0748038447896,32.0653562903455
3,52.9273365389083,0,24.2523595091569,26.9325184701743,22.9122800286482
3,55.1285398625844,1,33.3424342700887,32.0793833280391,33.9739597411135
3,56.2618803074835,1,36.3920897474452,34.1198235513978,37.5282228454689
3,51.484610821481,0,31.9096882270068,29.7516379567619,32.9887133621293
3,47.5973940954678,1,36.5058105084062,34.3849732774135,37.5662291239026
3,53.8321558089952,1,33.1260825606855,32.0401403248986,33.669053678579
3,59.1540354149938,1,34.1515728034202,32.3782217885969,35.0382483108318
3,44.0878192224274,0,23.5305053588436,23.5000221408785,23.5457469678261
3,49.22522759618,1,33.2144277125402,38.5610162257938,30.5411334559134
3,47.34661665212,0,30.3688109753665,24.5445519660919,33.2809404800037
4,51.9190740395078,1,17.9302944039817,23.0272281798799,15.3818275160326
4,46.6792526703221,0,13.2778781313404,18.1186545867927,10.8574899036143
4,48.2184886122822,1,15.8787745343258,15.9659179708751,15.8352028160511
4,46.0051045295205,0,16.6803313609952,19.6004987125902,15.2202476851977
4,49.8139947948009,1,12.5064157086898,15.5563763705045,10.9814353777825
4,46.1558845234708,0,15.5814647410448,21.9407906008865,12.4018018111239
4,48.7905497319737,0,14.0727361923215,19.664189046033,11.2770097654658
4,43.759603589428,0,18.0724239149114,26.9247958018366,13.6462379714488
4,45.7433904393225,0,14.8373237978345,13.2432467581268,15.6343623176883
