%OpenBCI Raw Aux Data
%Number of channels = 19
%Sample Rate = 50 Hz
%Board = OpenBCI_GUI$BoardGaleaBeta
Sample Index, EDA, PPG Red, PPG IR, Board Temperature, Battery, Accelerometer X, Accelerometer Y, Accelerometer Z, Gyroscope X, Gyroscope Y, Gyroscope Z, Magnetometer X, Magnetometer Y, Magnetometer Z, Raw PC Timestamp, Raw Device Timestamp, Timestamp, Marker, Timestamp (Formatted)
5.0, 0.029329711571335793, 97888.0, 108582.0, 36.6, 87.0, 2.4414435034714275E-4, -0.0014648661020828565, 2.4414435034714275E-4, 11.779964904249637, -9.445334554055085, 60.563057907988096, -0.014283970211207425, -0.0015871078012452693, 0.006714072084719382, 1.7464816220453763E9, 151.999738, 1.746481621969305E9, 0.0, 2025-05-05 14:47:01.969
10.0, 0.029336439445614815, 97913.0, 108606.0, 36.6, 87.0, 8.545052262149996E-4, -0.0010986495765621424, -8.545052262149996E-4, 12.115663385976958, -9.475852597848478, 60.57831692988479, -0.014283970211207425, -0.0015871078012452693, 0.006714072084719382, 1.7464816220453763E9, 152.019741, 1.7464816219893079E9, 0.0, 2025-05-05 14:47:01.989
15.0, 0.02933846041560173, 97935.0, 108583.0, 36.6, 87.0, 0.0010986495765621424, 4.882887006942855E-4, -0.0013427939269092851, 12.375066758220798, -8.926527809567407, 60.66987106126497, -0.014283970211207425, -0.0015871078012452693, 0.006714072084719382, 1.7464816220928352E9, 152.039999, 1.7464816220091286E9, 0.0, 2025-05-05 14:47:02.009
20.0, 0.029339805245399475, 97894.0, 108613.0, 36.6, 87.0, 6.103608758678569E-4, 0.0010986495765621424, -0.0015869382772564279, 12.085145342183566, -8.773937590600442, 60.76142519264515, -0.014283970211207425, -0.0015871078012452693, 0.006714072084719382, 1.7464816220928352E9, 152.060223, 1.7464816220293527E9, 0.0, 2025-05-05 14:47:02.029
25.0, 0.029336439445614815, 97887.0, 108593.0, 36.6, 87.0, 0.0, 0.0013427939269092851, -0.0015869382772564279, 11.85626001373312, -8.865491721980622, 60.57831692988479, -0.014283970211207425, -0.0015871078012452693, 0.006714072084719382, 1.7464816221409557E9, 152.080368, 1.74648162204908E9, 0.0, 2025-05-05 14:47:02.049
30.0, 0.029336439445614815, 97906.0, 108588.0, 36.6, 87.0, 3.662165255207141E-4, 9.76577401388571E-4, -9.76577401388571E-4, 11.64263370717937, -8.941786831464103, 60.5477988860914, -0.014283970211207425, -0.0015871078012452693, 0.006714072084719382, 1.7464816221409557E9, 152.100459, 1.746481622069171E9, 0.0, 2025-05-05 14:47:02.069
35.0, 0.029337113723158836, 97904.0, 108564.0, 36.6, 87.0, -1.2207217517357137E-4, 1.2207217517357137E-4, -3.662165255207141E-4, 11.718928816662851, -8.9570458533608, 60.74616617074845, -0.013966548650958371, -0.0022219509217433773, 0.007019257179479354, 1.7464816221409557E9, 152.120844, 1.7464816220895557E9, 0.0, 2025-05-05 14:47:02.089
40.0, 0.029336439445614815, 97865.0, 108480.0, 36.6, 87.0, -6.103608758678569E-4, 0.0, 3.662165255207141E-4, 11.551079575799191, -8.834973678187229, 60.59357595178149, -0.013966548650958371, -0.0022219509217433773, 0.007019257179479354, 1.7464816221895423E9, 152.140868, 1.7464816221092277E9, 0.0, 2025-05-05 14:47:02.109
45.0, 0.029335767030715942, 97877.0, 108514.0, 36.6, 87.0, -8.545052262149996E-4, -6.103608758678569E-4, 0.0010986495765621424, 11.779964904249637, -9.048599984740978, 60.822461280231934, -0.013966548650958371, -0.0022219509217433773, 0.007019257179479354, 1.7464816221895423E9, 152.161104, 1.7464816221294637E9, 0.0, 2025-05-05 14:47:02.129
50.0, 0.029333747923374176, 97837.0, 108504.0, 36.6, 87.0, -7.324330510414282E-4, -7.324330510414282E-4, 9.76577401388571E-4, 11.841000991836422, -9.018081940947585, 60.608834973678185, -0.013966548650958371, -0.0022219509217433773, 0.007019257179479354, 1.7464816222372897E9, 152.181245, 1.7464816221492038E9, 0.0, 2025-05-05 14:47:02.149
